id,locationName,address,websiteURL,contact,hasEBT,hasMarketMatch,rewards,coupons,position__lat,position__long,season_1_start,season_1_end,season_2_start,season_2_end,days,frequency,time_open,time_close,,searchLink,phoneNumber,email,storeType,freshFruit,freshVegetables,freshDairy,unprocessedMeat,flagged,flagReason,noInfo,permanentlyClosed,comments
18,Lucky K Mart,"503 S Los Angeles St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.04594,-118.247942,,,,,,,,,,"Lucky K Mart 503 S Los Angeles St, Los Angeles, CA 90013",213-221-7666,,Convenience Store,NONE,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
19,Claudia's Cafe,"208 W 6th St, Los Angeles, CA 90014",null,null,TRUE,FALSE,null,null,34.046046,-118.251411,,,,,,,,,,"Claudia's Cafe 208 W 6th St, Los Angeles, CA 90014",(213) 489-2866,,Convenience Store,NONE,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
20,Los Angeles City Hall Certified Farmers Market,"201 N Main St, Los Angeles, CA 90012",https://www.facebook.com/GreenmarketsLA/,null,TRUE,FALSE,null,null,34.052602,-118.243222,,,,,,,,,,"Los Angeles City Hall Certified Farmers Market 201 N Main St, Los Angeles, CA 90012",(323) 710-4198,,Farmer's Market,HIGH,HIGH,HIGH,LOW,FALSE,,FALSE,FALSE,
21,Black Rock Market Cafe,"600 S Spring St, Los Angeles, CA 90014",null,null,TRUE,FALSE,null,null,34.04557,-118.250926,,,,,,,,,,"Black Rock Market Cafe 600 S Spring St, Los Angeles, CA 90014",(213) 471-7575,,Grocery,HIGH,HIGH,HIGH,LOW,FALSE,,FALSE,FALSE,
22,Bank Of America Cfm,"121 S Hope St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.05585,-118.250889,,,,,,,,,,"Bank Of America Cfm 121 S Hope St, Los Angeles, CA 90012",,,,,,,,FALSE,,FALSE,TRUE,
23,Brothers Market 4,"259 E 5th St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.045123,-118.245941,,,,,,,,,,"Brothers Market 4 259 E 5th St, Los Angeles, CA 90013",,,,,,,,FALSE,,FALSE,TRUE,
24,Dtla Bodega,"650 S Spring St, Los Angeles, CA 90014",null,null,TRUE,FALSE,null,null,34.044616,-118.251895,,,,,,,,,,"Dtla Bodega 650 S Spring St, Los Angeles, CA 90014",(213) 462-2992,,Restaurant,LOW,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
25,Big Apple,"630 S Los Angeles St, Los Angeles, CA 90014",null,null,TRUE,FALSE,null,null,34.043857,-118.249417,,,,,,,,,,"Big Apple 630 S Los Angeles St, Los Angeles, CA 90014",,,,,,,,FALSE,,TRUE,FALSE,
26,Main Market,"105 E 7th St, Los Angeles, CA 90014",null,null,TRUE,FALSE,null,null,34.043845,-118.250936,,,,,,,,,,"Main Market 105 E 7th St, Los Angeles, CA 90014",,,,,,,,FALSE,,FALSE,TRUE,
27,Ringo Market,"340 San Pedro St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.045932,-118.242566,,,,,,,,,,"Ringo Market 340 San Pedro St, Los Angeles, CA 90013",,,,,,,,FALSE,,FALSE,TRUE,
28,Skid Row People's Market,"453 San Pedro St, Los Angeles, CA 90013",https://skidrowpeoplesmarket.org/,null,TRUE,FALSE,null,null,34.044527,-118.244028,,,,,,,,,,"Skid Row People's Market 453 San Pedro St, Los Angeles, CA 90013",,skidrowpeoplesmarket@gmail.com,Grocery,HIGH,HIGH,NONE,NONE,FALSE,,FALSE,FALSE,
29,Express Market,"506 San Pedro St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.043787,-118.243868,,,,,,,,,,"Express Market 506 San Pedro St, Los Angeles, CA 90013",15624414925,,Convenience Store,NONE,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
30,Chapman Market,"221 W 8th St, Los Angeles, CA 90014",null,null,TRUE,FALSE,null,null,34.043562,-118.254244,,,,,,,,,,"Chapman Market 221 W 8th St, Los Angeles, CA 90014",(213) 489-4080,,Convenience Store,NONE,NONE,NONE,NONE,TRUE,Liquor Store,FALSE,FALSE,
31,Whole Foods Market #10546,"788 S Grand Ave, Los Angeles, CA 90014",https://www.wholefoodsmarket.com/stores/downtownlosangeles,null,TRUE,FALSE,null,null,34.04587,-118.25759,,,,,,,,,,"Whole Foods Market #10546 788 S Grand Ave, Los Angeles, CA 90014",(213) 873-4745,,Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
32,Paradise Discount Store,"520 E 5th St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.04366,-118.24341,,,,,,,,,,"Paradise Discount Store 520 E 5th St, Los Angeles, CA 90013",,,Convenience Store,NONE,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
33,Baba's Mini Market,"555 San Pedro St, Los Angeles, CA 90013",null,null,TRUE,FALSE,null,null,34.04284,-118.24503,,,,,,,,,,"Baba's Mini Market 555 San Pedro St, Los Angeles, CA 90013",,,Convenience Store,NONE,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
34,Alex Grocery,"425 E 7th St, Los Angeles, CA 90014",null,null,TRUE,FALSE,null,null,34.041534,-118.247727,,,,,,,,,,"Alex Grocery 425 E 7th St, Los Angeles, CA 90014",,,Grocery,LOW,LOW,LOW,LOW,FALSE,,FALSE,FALSE,
35,Esquire Liquor & Deli,"830 1/2 S Olive St #619, Los Angeles, CA 90014",null,null,TRUE,FALSE,null,null,34.04427,-118.257358,,,,,,,,,,"Esquire Liquor & Deli 830 1/2 S Olive St #619, Los Angeles, CA 90014",(213) 622-6372,,Convenience Store,LOW,NONE,NONE,NONE,FALSE,,TRUE,FALSE,
36,Figueroa & 7th Cfm,"735 S Figueroa St, Los Angeles, CA 90017",https://www.figat7th.com/arts-events/figat7th-farmers-market/,null,TRUE,FALSE,null,null,34.049209,-118.260562,,,,,,,,,,"Figueroa & 7th Cfm 735 S Figueroa St, Los Angeles, CA 90017",,,Farmer's Market,HIGH,HIGH,NONE,NONE,FALSE,,FALSE,FALSE,
37,Target Store,"735 S Figueroa St, Los Angeles, CA 90017",https://www.target.com/sl/la-central/2776,null,TRUE,FALSE,null,null,34.049209,-118.260562,,,,,,,,,,"Target Store 735 S Figueroa St, Los Angeles, CA 90017",(213) 330-4543,,Big Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
38,Green Apple Market,"600 E 7th St, Los Angeles, CA 90021",null,null,TRUE,FALSE,null,null,34.040543,-118.246758,,,,,,,,,,"Green Apple Market 600 E 7th St, Los Angeles, CA 90021",,,Convenience Store,LOW,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
39,Ralphs Fresh Fare,"645 W 9th St, Los Angeles, CA 90015",https://www.ralphs.com/stores/grocery/ca/los-angeles/9th-flower/703/00022?cid=loc_70300022_gmb,null,TRUE,FALSE,null,null,34.045818,-118.260713,,,,,,,,,,"Ralphs Fresh Fare 645 W 9th St, Los Angeles, CA 90015",(213) 452-0840,,Big Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
40,Little Tokyo Market Place,"333 S Alameda St, Los Angeles, CA 90013",http://www.littletokyomarket.com/,null,TRUE,FALSE,null,null,34.044534,-118.238323,,,,,,,,,,"Little Tokyo Market Place 333 S Alameda St, Los Angeles, CA 90013",(213) 617-0030,info@littletokyomarket.com,Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
41,Smart And Final #484,"845 S Figueroa St, Los Angeles, CA 90017",locations.smartandfinal.com,null,TRUE,FALSE,null,null,34.047345,-118.262497,,,,,,,,,,"Smart And Final #484 845 S Figueroa St, Los Angeles, CA 90017",(213) 629-0039,,Big Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
42,7th St Market,"801 E 7th St, Los Angeles, CA 90021",null,null,TRUE,FALSE,null,null,34.039486,-118.244551,,,,,,,,,,"7th St Market 801 E 7th St, Los Angeles, CA 90021",(213) 988-8890,,Farmer's Market,HIGH,HIGH,HIGH,LOW,FALSE,,FALSE,FALSE,
43,Trimana Fresh Food Market,"800 N Alameda St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.05622,-118.236502,,,,,,,,,,"Trimana Fresh Food Market 800 N Alameda St, Los Angeles, CA 90012",(213) 613-1433,,Convenience Store,NONE,NONE,NONE,NONE,TRUE,Other (Not Recommended),FALSE,FALSE,
44,Dtla Grocery Outlet,"1120 W 6th St, Los Angeles, CA 90017",null,null,TRUE,FALSE,null,null,34.053413,-118.263375,,,,,,,,,,"Dtla Grocery Outlet 1120 W 6th St, Los Angeles, CA 90017",(213) 372-5003,,Big Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
45,Dw Market,"652 N Broadway, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.060017,-118.239213,,,,,,,,,,"Dw Market 652 N Broadway, Los Angeles, CA 90012",N/A,,Grocery,HIGH,HIGH,LOW,LOW,FALSE,,FALSE,FALSE,
46,Bh Mart,"665 N Broadway, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.060274,-118.239554,,,,,,,,,,"Bh Mart 665 N Broadway, Los Angeles, CA 90012",N/A,,,,,,,FALSE,,TRUE,FALSE,
47,Yue Wa Market,"658 N Broadway, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.060132,-118.239282,,,,,,,,,,"Yue Wa Market 658 N Broadway, Los Angeles, CA 90012",(213) 680-4229,,Grocery,HIGH,HIGH,LOW,LOW,FALSE,,FALSE,FALSE,
48,Snack Time Store,"950 Santee St, Los Angeles, CA 90015",null,null,TRUE,FALSE,null,null,34.038969,-118.254605,,,,,,,,,,"Snack Time Store 950 Santee St, Los Angeles, CA 90015",(213) 623-4415,,Grocery,,,,,FALSE,,TRUE,FALSE,
49,Family's Market,"711 N Main St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.058834,-118.237616,,,,,,,,,,"Family's Market 711 N Main St, Los Angeles, CA 90012",(213) 621-7656,,Convenience Store,,,,,FALSE,,TRUE,FALSE,
50,Mw Mart,"307 Ord St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.060271,-118.238852,,,,,,,,,,"Mw Mart 307 Ord St, Los Angeles, CA 90012",(213) 628-8638,,,,,,,FALSE,,TRUE,FALSE,
51,Lupita's Market,"1401 W 3rd St, Los Angeles, CA 90017",null,null,TRUE,FALSE,null,null,34.05847,-118.261724,,,,,,,,,,"Lupita's Market 1401 W 3rd St, Los Angeles, CA 90017",(213) 250-3138,,Grocery,LOW,LOW,NONE,NONE,FALSE,,FALSE,FALSE,
52,Peking Poultry,"717 N Broadway, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.060953,-118.239436,,,,,,,,,,"Peking Poultry 717 N Broadway, Los Angeles, CA 90012",(213) 680-2588,,Meat,NONE,LOW,NONE,HIGH,FALSE,,FALSE,FALSE,
53,Nam Hoa Fish Market Inc,"711 1/4 New High St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.060413,-118.238574,,,,,,,,,,"Nam Hoa Fish Market Inc 711 1/4 New High St, Los Angeles, CA 90012",(213) 229-8938,,Meat,NONE,NONE,NONE,HIGH,FALSE,,FALSE,FALSE,
54,Hoi-Yeung Seafood Co.,"716 N Broadway, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.060748,-118.238927,,,,,,,,,,"Hoi-Yeung Seafood Co. 716 N Broadway, Los Angeles, CA 90012",(213) 628-0021,,Meat,NONE,LOW,NONE,HIGH,FALSE,,FALSE,FALSE,
55,Kft Grocery Store,"705 N Spring St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.06008,-118.238018,,,,,,,,,,"Kft Grocery Store 705 N Spring St, Los Angeles, CA 90012",,,,,,,,FALSE,,FALSE,TRUE,
56,"Shang Lee Fresh Poultry, Inc.","711 N Spring St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.060243,-118.238008,,,,,,,,,,"Shang Lee Fresh Poultry, Inc. 711 N Spring St, Los Angeles, CA 90012",(213) 617-2635,,Meat,NONE,NONE,NONE,HIGH,FALSE,,FALSE,FALSE,
57,One Stop Halal,"1020 E 7th St, Los Angeles, CA 90021",null,null,TRUE,FALSE,null,null,34.038156,-118.243571,,,,,,,,,,"One Stop Halal 1020 E 7th St, Los Angeles, CA 90021",(833) 425-2566,onestophalal.com,,,,,HIGH,TRUE,Online Business,FALSE,FALSE,
58,"Lian Shing Hong, Inc.","750 N Hill St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.061711,-118.239642,,,,,,,,,,"Lian Shing Hong, Inc. 750 N Hill St, Los Angeles, CA 90012",(213) 680-2383,,,,,,,FALSE,,TRUE,FALSE,
59,Tan De Chinese Herbs,"750 N Hill St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.061711,-118.239642,,,,,,,,,,"Tan De Chinese Herbs 750 N Hill St, Los Angeles, CA 90012",(213) 626-2886,,Other,NONE,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
60,Bellamar Market #2,"1429 W 3rd St, Los Angeles, CA 90017",null,null,TRUE,FALSE,null,null,34.058855,-118.262415,,,,,,,,,,"Bellamar Market #2 1429 W 3rd St, Los Angeles, CA 90017",(213) 484-8483,,Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
61,"C & C Market, Inc","1106 E 7th St, Los Angeles, CA 90021",null,null,TRUE,FALSE,null,null,34.037918,-118.24309,,,,,,,,,,"C & C Market, Inc 1106 E 7th St, Los Angeles, CA 90021",(213) 688-1021,,Convenience Store,,,,,FALSE,,TRUE,FALSE,
62,South Park Farmers' Market,"1099 S Grand Ave, Los Angeles, CA 90015",https://www.farmhabit.com/southpark,null,TRUE,TRUE,null,null,34.04179,-118.26214,,,,,,,,,,"South Park Farmers' Market 1099 S Grand Ave, Los Angeles, CA 90015",,info@farmhabit.com,Farmer's Market,HIGH,HIGH,,,FALSE,,FALSE,FALSE,
63,Phils Discount Store,"1439 1/2 W 3rd St #1451, Los Angeles, CA 90017",null,null,TRUE,FALSE,null,null,34.058896,-118.26284,,,,,,,,,,"Phils Discount Store 1439 1/2 W 3rd St #1451, Los Angeles, CA 90017",(213) 482-1791,,,,,,,FALSE,,TRUE,FALSE,
64,Healthright 360,"1000 N Alameda St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.059456,-118.235913,,,,,,,,,,"Healthright 360 1000 N Alameda St, Los Angeles, CA 90012",,,DON'T INCLUDE,,,,,FALSE,,FALSE,FALSE,
65,Prototypes Star House,"1000 N Alameda St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.059456,-118.235913,,,,,,,,,,"Prototypes Star House 1000 N Alameda St, Los Angeles, CA 90012",,,DON'T INCLUDE,,,,,FALSE,,FALSE,FALSE,
66,Lincoln Heights Certified Farmers Market,"777N Broadway, Los Angeles, CA 90012",https://www.facebook.com/LincolnHeightsCFM/,null,TRUE,TRUE,null,null,34.062142,-118.239124,,,,,,,,,,"Lincoln Heights Certified Farmers Market 777N Broadway, Los Angeles, CA 90012",(323) 437-0203,lincolnheightscfm@gmail.com,Farmer's Market,HIGH,HIGH,,,FALSE,,FALSE,FALSE,
67,Superior Poultry,"750 N Broadway, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.061707,-118.238295,,,,,,,,,,"Superior Poultry 750 N Broadway, Los Angeles, CA 90012",(213) 628-7645,,Meat,NONE,NONE,NONE,HIGH,FALSE,,FALSE,FALSE,
68,Carniceria Los Tapatios,"1451 W 3rd St, Los Angeles, CA 90017",null,null,TRUE,FALSE,null,null,34.059113,-118.263146,,,,,,,,,,"Carniceria Los Tapatios 1451 W 3rd St, Los Angeles, CA 90017",(213) 481-1629,,Grocery,LOW,LOW,LOW,LOW,FALSE,,FALSE,FALSE,
69,Chapinlandia Bakery #2,"1455 W 3rd St, Los Angeles, CA 90017",null,null,TRUE,FALSE,null,null,34.059161,-118.26326,,,,,,,,,,"Chapinlandia Bakery #2 1455 W 3rd St, Los Angeles, CA 90017",,,Bakery,NONE,NONE,NONE,NONE,FALSE,,FALSE,FALSE,
70,San Pedro Market,"968 San Pedro St, Los Angeles, CA 90015",null,null,TRUE,FALSE,null,null,34.036135,-118.251371,,,,,,,,,,"San Pedro Market 968 San Pedro St, Los Angeles, CA 90015",,,DON'T INCLUDE,,,,,FALSE,,TRUE,FALSE,
71,Chanh Thai,"421 Alpine St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.062734,-118.239019,,,,,,,,,,"Chanh Thai 421 Alpine St, Los Angeles, CA 90012",(213) 626-7214,,Other,NONE,NONE,NONE,NONE,TRUE,Other (Not Recommended),FALSE,FALSE,
72,Rosa's Mini Market,"1246 W 7th St, Los Angeles, CA 90017",null,null,TRUE,FALSE,null,null,34.051993,-118.267265,,,,,,,,,,"Rosa's Mini Market 1246 W 7th St, Los Angeles, CA 90017",,,,,,,,FALSE,,FALSE,TRUE,
73,Alebrije Imports,"915 Towne Ave, Los Angeles, CA 90021",https://alebrijeimports.com/,null,TRUE,FALSE,null,null,34.035568,-118.249041,,,,,,,,,,"Alebrije Imports 915 Towne Ave, Los Angeles, CA 90021",(213) 372-5449,,Other,LOW,LOW,LOW,LOW,FALSE,,FALSE,FALSE,
74,Goldfish Seafood Market,"744 Kohler St, Los Angeles, CA 90021",https://goldfishseafoodmarket.com/,null,TRUE,FALSE,null,null,34.036303,-118.243298,,,,,,,,,,"Goldfish Seafood Market 744 Kohler St, Los Angeles, CA 90021",(213) 372-5116,,Meat,NONE,NONE,NONE,HIGH,FALSE,,FALSE,FALSE,
75,Grow The Produce Shop,"300 S Santa Fe Ave, Los Angeles, CA 90013",https://shop.growdelivers.com/,null,TRUE,FALSE,null,null,34.044857,-118.232219,,,,,,,,,,"Grow The Produce Shop 300 S Santa Fe Ave, Los Angeles, CA 90013",(213) 346-9488,,Big Grocery,HIGH,HIGH,HIGH,HIGH,FALSE,,FALSE,FALSE,
76,"El Ruisenor De Mexico, Inc.","1021 E 8th St, Los Angeles, CA 90021",null,null,TRUE,FALSE,null,null,34.035782,-118.245467,,,,,,,,,,"El Ruisenor De Mexico, Inc. 1021 E 8th St, Los Angeles, CA 90021",(213) 488-0719,,Other,,,,,TRUE,Other (Not Recommended),FALSE,FALSE,
77,San Juan Market,"1248 W Temple St, Los Angeles, CA 90026",null,null,TRUE,FALSE,null,null,34.065753,-118.253866,,,,,,,,,,"San Juan Market 1248 W Temple St, Los Angeles, CA 90026",,,Other,,,,,FALSE,,FALSE,TRUE,
78,La Fruteria Produce Market,"1252 W Temple St, Los Angeles, CA 90026",null,null,TRUE,FALSE,null,null,34.06586,-118.254077,,,,,,,,,,"La Fruteria Produce Market 1252 W Temple St, Los Angeles, CA 90026",,,,,,,,FALSE,,TRUE,FALSE,
79,Easygo,"1324 W 7th St, Los Angeles, CA 90017",null,null,TRUE,FALSE,null,null,34.052363,-118.268295,,,,,,,,,,"Easygo 1324 W 7th St, Los Angeles, CA 90017",,,,,,,,TRUE,Liquor Store,FALSE,FALSE,
80,Milagros Market,"1216 W 8th St, Los Angeles, CA 90017",null,null,TRUE,FALSE,null,null,34.049733,-118.268422,,,,,,,,,,"Milagros Market 1216 W 8th St, Los Angeles, CA 90017",,,Convenience Store,NONE,NONE,NONE,NONE,TRUE,,FALSE,FALSE,
81,China Town Gas America,"900 N Hill St, Los Angeles, CA 90012",null,null,TRUE,FALSE,null,null,34.06464,-118.238249,,,,,,,,,,"China Town Gas America 900 N Hill St, Los Angeles, CA 90012",,,Convenience Store,NONE,NONE,LOW,LOW,TRUE,Gas Station,FALSE,FALSE,
82,Crystal Market,"216 Glendale Blvd, Los Angeles, CA 90026",null,null,TRUE,FALSE,null,null,34.065152,-118.25995,,,,,,,,,,"Crystal Market 216 Glendale Blvd, Los Angeles, CA 90026",,,Convenience Store,LOW,LOW,LOW,LOW,FALSE,,FALSE,FALSE,
83,United Food Retail,"846 Produce Ct, Los Angeles, CA 90021",null,null,TRUE,FALSE,null,null,34.03409,-118.244471,,,,,,,,,,"United Food Retail 846 Produce Ct, Los Angeles, CA 90021",,,Meat,NONE,LOW,HIGH,HIGH,FALSE,,FALSE,FALSE,
84,Silvia's 99 & Up,"228 Glendale Blvd, Los Angeles, CA 90026",null,null,TRUE,FALSE,null,null,34.065366,-118.260007,,,,,,,,,,"Silvia's 99 & Up 228 Glendale Blvd, Los Angeles, CA 90026",,,Other,NONE,LOW,LOW,LOW,TRUE,Dollar Store,FALSE,FALSE,
85,Bob's Market,"1234 Bellevue Ave, Los Angeles, CA 90026",null,null,TRUE,FALSE,null,null,34.067754,-118.251802,,,,,,,,,,"Bob's Market 1234 Bellevue Ave, Los Angeles, CA 90026",,,Convenience Store,LOW,LOW,LOW,LOW,FALSE,,FALSE,FALSE,
